word,count
the,15045688
to,7261028
of,7252608
and,6543007
a,5686897
in,5026161
that,3304264
is,3045443
s,2890623
for,2481864
it,2104801
on,2057007
as,1624920
with,1588106
are,1471011
i,1465689
was,1363488
this,1359726
by,1285748
be,1283626
at,1272410
have,1256026
not,1205681
from,1192780
you,1166814
he,1161193
they,1009747
we,989312
has,969680
an,962447
but,934969
his,917462
or,899779
will,814129
who,780639
t,759263
their,732680
said,712361
more,670901
one,647687
all,644165
about,639055
which,609903
can,598947
if,589660
what,556168
would,551409
people,547410
been,541536
there,530579
our,524269
so,522354
new,509377
were,508938
up,502149
when,498946
out,494213
had,470526
no,464677
its,409902
also,407823
her,402210
do,399904
like,397703
than,390282
us,388149
after,387531
your,386604
time,378134
just,376215
she,375819
other,365659
some,365510
my,356966
year,348888
over,346202
now,345022
them,344158
trump,339910
into,337402
only,335329
even,320118
news,313254
iran,311809
president,311415
how,308417
state,303308
first,299327
because,289090
most,286479
these,286464
many,280935
two,280552
could,279610
government,279041
any,273349
years,272045
world,263694
may,262907
those,261016
