id,type,title,domain,url,preview,token_count,score
2784449.0,political,,,,"Name of the Manhattan Meetup that started the explosion of media coverage on free will in 2010. This is the 11th in a series on how the free will belief that our world’s top thinkers, Charles Darwin, Sigmund Freud, and Albert Einstein each refuted is",2850,2850
6992752.0,fake,,,,"Surrender, Flow, Focused Creation and the Near Match Phenomenon ~ Message from Archangel Gabriel (Before It's News) Greetings, Dear Ones! How pleased and honoured we are to be with you today, in this first group meeting since you have landed up in th",2740,2740
6190872.0,conspiracy,,,,"Originally posted by IAMIAM Greetings Brothers and Sisters, The time has come for me to issue a final warning to all here who read my words. The hour draws near, nearer than many can imagine, for the time of decision. It is the hour for each of you t",2724,2724
732037.0,conspiracy,,,,"During the Constitution Radio program on KCAA AM1050 on Saturday , August 2, 2014 (program regularly airs Saturday’s at 2:00 pm Pacific), a border patrol agent called into the radio program to chime in on the immigration issue, and to add to my comme",2707,2707
5846580.0,political,,,,"As you know, the first hour of the debate was devoted to tabloid attacks on Obama, with one break to ask Hillary about Bosnia. From the reviews I was expecting that Obama flubbed his answers. But do these look like flubs? Bittergate: Obama: Let me ju",2704,2704
180571.0,political,,,,"Who, if I cried out, would hear me among the angels' hierarchies? And even if one of them pressed me suddenly against his heart: I would be consumed in that overwhelming existence. For beauty is nothing but the beginning of terror Which we are just a",2698,2698
4201404.0,political,,,,"Intense, angry woman (Shutterstock) In 2014, a great deal of ink was spilled about the need to stop calling women crazy. Though dismissing women as emotional and irrational is hardly a new phenomenon, a Washington Post op-ed by dating coach Harris O’",2696,2696
2514382.0,bias,,,,"“Government data. You just have to love government data. Because there is nothing so delightfully absurd.” ~ Charles Featherstone Well, it’s that time of year again. Things to do. Stuff to take care of. Errands to avoid. Along with all the regular da",2673,2673
5187762.0,political,,,,"Anyhoo, so off to Black Kos I went. I needed balance, a place to feel free to be me in all my Blackness and glory. See Black Kos, I can say, ""good White folk,"" and ""all my Blackness and glory"" to you ‘cause, you understand that doesn’t mean I am a bi",2666,2666
3518055.0,political,,,,"The day began at 9:00am at Brittingham Park in Madison, with people gathered outside this pavilion to receive instructions: I'm only using first names here because I didn't get permission for full disclosure ahead of time. State Senator Mark Miller w",2664,2664
