id,type,title,domain,url,preview,number_count,score
5530572,nan,,,,"This “previously confidential list of people and organizations found to be involved in laundering money and funding terrorism” was presented by Rossiyskaya Gazeta, the Russian-government owned newspaper. It was originally compiled by the Russian Mini",3210,3210
879627,political,,,,"This will hopefully be a daily post until election day, now including daily data from the previous day. I am trying to put some perspective to the early voting results in Florida. All numbers come from the Florida government web site, captured this m",2404,2404
4564707,political,,,,"I wanted to see if I could put some perspective to the early voting results in Florida. All numbers come from the Florida government web site, captured this afternoon and updated there as of end-of-day yesterday. First, let’s put some historical pers",1766,1766
9030991,reliable,,,,"Taxes, rebates and state aid in suburban schools The first column shows the combined value of state aid and School Tax Relief (STAR) rebates in each district under the 2007-8 budget passed April 1. Aid goes to districts, while rebates go to taxpayers",1549,1549
8050848,reliable,,,,"TABC high school basketball rankings Published 3:35 pm, Monday, November 21, 2016 SUGAR LAND, Texas (AP) — High school basketball rankings as compiled by the Texas Association of Basketball Coaches for the week of Nov. 21: BOYS PUBLIC CLASS 6A 1. SA ",1265,1265
8147786,reliable,,,,"TABC high school basketball rankings Published 3:01 pm, Monday, November 28, 2016 SUGAR LAND, Texas (AP) — High school basketball rankings as compiled by the Texas Association of Basketball Coaches for the week of Nov. 28: BOYS PUBLIC Class 6A 1. SA ",1265,1265
8415198,reliable,,,,"For the first time since it required tougher English tests for high school graduation, the State Board of Regents has released scores that capture the progress of an entire class. The data presented here are for New York City students who entered nin",1079,1079
8058118,reliable,,,,"Temperatures indicate Monday's high and overnight low to 8 p.m. Eastern Time. %%BTb %%LblYesterday%%&;%%&;;Today%%&;%%&;;Tomorrow%%&;%%&; %%Lbl;Hi;Lo;Prc;Hi;Lo;Otlk;Hi;Lo;Otlk Abilene, Tex;76;48;;74;58;PCldy;66;46;Clr Akron, Ohio;34;28;;40;26;PCldy;4",1009,1009
3732088,fake,,,,"(Before It's News) Evelyn Guzman – July 28, 2011 Update To My Article Posted Canary Islands- Recently El Hierro volcano of the Canary Islands has been experiencing a seismic swarm beneath it, which as of yesterday reached to over 700 events. Most Of ",930,930
3747002,bias,,,,"by Robert Wenzel Economic Policy Journal Recently by Robert Wenzel: This Is What Happens as the Economy Get More Regulated… Switzerland is the winner, again. Data from the World Bank: Country name 2007 2008 2009 2010 2011 Guinea-Bissau 45 46 46 46 47",894,894
