word,count
said,712374
one,675487
year,620934
state,570812
peopl,553547
would,551411
time,512307
new,509453
like,487634
use,432790
also,407826
us,388149
make,373551
go,358186
say,353485
get,344457
trump,344044
even,342018
presid,339119
right,330282
day,318375
govern,314861
news,313258
iran,311848
report,311366
come,310367
american,309365
nation,307859
first,299503
work,295989
mani,281112
two,280616
could,279611
call,276506
take,271962
world,266461
see,265182
may,263284
back,255629
last,255337
know,249613
public,249471
includ,249047
want,247858
obama,242243
support,241614
countri,241383
u,241201
iranian,240635
way,239575
need,234531
well,233260
polit,231245
think,223488
system,219516
made,212899
war,208678
show,205596
law,203784
unit,203065
look,202468
hous,198060
much,197816
chang,196243
thing,194358
republican,193061
health,193044
live,191891
week,189618
mr,188733
help,187923
issu,186776
leader,185472
group,185122
inform,184698
continu,183863
rec,182707
good,181903
elect,181391
com,180931
democrat,178043
tri,176491
islam,174405
sinc,174018
million,172975
point,171907
attack,170798
vote,170437
read,169743
nuclear,168879
power,165578
offic,164617
life,163396
part,163249
end,162920
post,160965
plan,159689
parti,159580
univers,159285
secur,158873
